Comune;Provincia;Regione;Longitudine;Latitudine;Tipo;Nome
POSITANO;SALERNO;Campania;14.4955977002;40.6274332004;Autobus;
POSITANO;SALERNO;Campania;14.4973125004;40.6264398997;Autobus;
POSITANO;SALERNO;Campania;14.4849365008;40.6326578003;Autobus;
POSITANO;SALERNO;Campania;14.4823396998;40.6285416996;Autobus;
POSITANO;SALERNO;Campania;14.4806877999;40.6305311006;Autobus;
POSITANO;SALERNO;Campania;14.4850702;40.6280586004;Autobus;
POSITANO;SALERNO;Campania;14.4909495995;40.6276353998;Autobus;
POSITANO;SALERNO;Campania;14.4773425005;40.6302747997;Autobus;Fiume della Noche
POSITANO;SALERNO;Campania;14.4928783001;40.6330126999;Autobus;Montepertuso
POSITANO;SALERNO;Campania;14.5033923005;40.6304499007;Autobus;Nocelle
POSITANO;SALERNO;Campania;14.4823244001;40.6293924;Autobus;Positano Chiesa Nuova
POSITANO;SALERNO;Campania;14.4857521003;40.6301131998;Autobus;Positano Piazza dei Mulini
PRAIANO;SALERNO;Campania;14.5225371007;40.6129823997;Autobus;
RAVELLO;SALERNO;Campania;14.6113637999;40.6508334;Autobus;
RAVELLO;SALERNO;Campania;14.6109758003;40.6374235002;Autobus;
RAVELLO;SALERNO;Campania;14.6125959001;40.6380545003;Autobus;
RAVELLO;SALERNO;Campania;14.6132937999;40.6444145997;Autobus;
RAVELLO;SALERNO;Campania;14.6124737002;40.6535246;Autobus;
RAVELLO;SALERNO;Campania;14.6134495004;40.6491578999;Autobus;Ravello
RAVELLO;SALERNO;Campania;14.6133240996;40.6492163995;Autobus;Ravello
ROCCADASPIDE;SALERNO;Campania;15.1291793003;40.4551794997;Autobus;
ROCCAGLORIOSA;SALERNO;Campania;15.4317699006;40.1086005;Autobus;
ROFRANO;SALERNO;Campania;15.4272615995;40.2115512992;Autobus;Rofrano
SALERNO;SALERNO;Campania;14.7701739;40.6739198995;Autobus;Concordia
SALERNO;SALERNO;Campania;14.7574633008;40.6782261995;Autobus;Shuttle Salerno
SALERNO;SALERNO;Campania;14.7717671998;40.6752406999;Autobus;Stazione Centrale
SALVITELLE;SALERNO;Campania;15.4629212995;40.5925310996;Autobus;
SAN GIOVANNI A PIRO;SALERNO;Campania;15.4398565002;40.0515989002;Autobus;
SAN GIOVANNI A PIRO;SALERNO;Campania;15.4339975001;40.0488224995;Autobus;
SAN GIOVANNI A PIRO;SALERNO;Campania;15.4513047;40.0497577004;Autobus;
SANTA MARINA;SALERNO;Campania;15.5213930998;40.0739705998;Autobus;
SANTA MARINA;SALERNO;Campania;15.5205162995;40.0742289998;Autobus;
SANT'EGIDIO DEL MONTE ALBINO;SALERNO;Campania;14.5938523004;40.7449021997;Autobus;
SANT'EGIDIO DEL MONTE ALBINO;SALERNO;Campania;14.5849114006;40.7421151002;Autobus;
SANT'EGIDIO DEL MONTE ALBINO;SALERNO;Campania;14.5860028006;40.7392542998;Autobus;
SANT'EGIDIO DEL MONTE ALBINO;SALERNO;Campania;14.5844539993;40.7439538;Autobus;Via Alighieri
